Description,Population,Male,Female,Household
Setteled in urban areas,"45,990","22,658","23,332","12,491"
Settled in rural areas,"78,306","39,333","38,973","21,999"
Unsettled ,226,123,103,71
Sireek,"45,723","22,840","22,883","11,304"
Setteled in urban areas,"12,205","6,146","6,059","2,871"
Settled in rural areas,"33,518","16,694","16,824","8,433"
Unsettled ,0,0,0,0
Qeshm ,"148,993","76,077","72,916","40,506"
Setteled in urban areas,"66,801","34,403","32,398","19,027"
Settled in rural areas,"82,160","41,643","40,517","21,447"
Unsettled ,32,31,1,32
Minab ,"259,221","129,849","129,372","68,906"
Setteled in urban areas,"86,674","43,649","43,025","22,557"
Settled in rural areas,"172,511","86,184","86,327","46,341"
Unsettled ,36,16,20,8
     Hamedan,"1,738,234","880,318","857,916","538,803"
Setteled in urban areas,"1,097,217","550,587","546,630","343,606"
Settled in rural areas,"639,005","328,663","310,342","194,698"
Unsettled ,"2,012","1,068",944,499
Asadabad,"100,901","50,991","49,910","30,387"
Setteled in urban areas,"58,441","29,522","28,919","17,587"
Settled in rural areas,"42,158","21,302","20,856","12,721"
Unsettled ,302,167,135,79
Bahar,"119,082","60,976","58,106","36,844"
Setteled in urban areas,"58,831","29,992","28,839","18,468"
Settled in rural areas,"60,251","30,984","29,267","18,376"
Unsettled ,0,0,0,0
Tuyserkan ,"101,666","51,037","50,629","33,537"
Setteled in urban areas,"56,062","28,026","28,036","18,240"
Settled in rural areas,"45,453","22,927","22,526","15,264"
Unsettled ,151,84,67,33
Razan,"107,587","54,617","52,970","32,207"
Setteled in urban areas,"27,046","13,874","13,172","8,042"
Settled in rural areas,"80,541","40,743","39,798","24,165"
Unsettled ,0,0,0,0
Famenin,"39,359","20,571","18,788","12,182"
Setteled in urban areas,"14,208","7,333","6,875","4,498"
Settled in rural areas,"25,151","13,238","11,913","7,684"
Unsettled ,0,0,0,0
Kabudarahang ,"126,062","65,433","60,629","37,567"
Setteled in urban areas,"25,033","12,858","12,175","7,520"
Settled in rural areas,"101,029","52,575","48,454","30,047"
Unsettled ,0,0,0,0
Malayer,"288,685","145,199","143,486","89,762"
Setteled in urban areas,"188,160","94,562","93,598","58,205"
Settled in rural areas,"100,446","50,593","49,853","31,536"
Unsettled ,79,44,35,21
Nahavand,"178,787","90,571","88,216","55,542"
Setteled in urban areas,"91,978","46,297","45,681","28,809"
Settled in rural areas,"85,333","43,505","41,828","26,371"
Unsettled ,"1,476",769,707,362
Hamedan,"676,105","340,923","335,182","210,775"
Setteled in urban areas,"577,458","288,123","289,335","182,237"
Settled in rural areas,"98,643","52,796","45,847","28,534"
Unsettled ,4,4,0,4
     Yazd,"1,138,533","586,013","552,520","340,657"
Setteled in urban areas,"971,355","496,254","475,101","290,668"
Settled in rural areas,"166,724","89,456","77,268","49,688"
Unsettled ,454,303,151,301
Abarkuh ,"51,552","26,666","24,886","16,026"
Setteled in urban areas,"35,621","18,277","17,344","10,827"
Settled in rural areas,"15,482","8,090","7,392","4,900"
Unsettled ,449,299,150,299
Ardakan ,"97,960","53,513","44,447","28,216"
Setteled in urban areas,"83,071","43,210","39,861","24,996"
Settled in rural areas,"14,889","10,303","4,586","3,220"
Unsettled ,0,0,0,0
Ashkzar ,"32,566","17,406","15,160","9,613"
Setteled in urban areas,"19,658","10,100","9,558","5,962"
Settled in rural areas,"12,908","7,306","5,602","3,651"
Unsettled ,0,0,0,0
Bafgh ,"50,845","25,849","24,996","15,156"
Setteled in urban areas,"45,453","23,132","22,321","13,454"
Settled in rural areas,"5,392","2,717","2,675","1,702"
Unsettled ,0,0,0,0
Behabad,"17,221","8,592","8,629","5,380"
Setteled in urban areas,"9,232","4,530","4,702","2,778"
Settled in rural areas,"7,989","4,062","3,927","2,602"
Unsettled ,0,0,0,0
Taft,"43,893","22,447","21,446","14,659"
Setteled in urban areas,"20,204","10,365","9,839","6,255"
Settled in rural areas,"23,689","12,082","11,607","8,404"
Unsettled ,0,0,0,0
Khatam ,"36,562","19,146","17,416","10,811"
Setteled in urban areas,"22,411","11,569","10,842","6,622"
Settled in rural areas,"14,147","7,574","6,573","4,188"
Unsettled ,4,3,1,1
Mehriz,"51,733","26,480","25,253","15,978"
Setteled in urban areas,"34,237","17,440","16,797","10,344"
Settled in rural areas,"17,496","9,040","8,456","5,634"
Unsettled ,0,0,0,0
Meybod ,"99,727","51,071","48,656","29,684"
Setteled in urban areas,"90,002","45,954","44,048","26,882"
Settled in rural areas,"9,725","5,117","4,608","2,802"
Unsettled ,0,0,0,0
Yazd,"656,474","334,843","321,631","195,134"
Setteled in urban areas,"611,466","311,677","299,789","182,548"
Settled in rural areas,"45,007","23,165","21,842","12,585"
Unsettled ,1,1,0,1
